Time,NumberObject,TypeObject,Positions
2022-07-21 21:32:45.122772,21,person,"[(411.0, 887.0, 743.0, 1118.0), (343.0, 450.0, 739.0, 749.0), (486.0, 623.0, 743.0, 859.0), (466.0, 271.0, 743.0, 528.0), (466.0, 110.0, 743.0, 278.0), (526.0, 1113.0, 743.0, 1315.0), (0.0, 0.0, 743.0, 1320.0), (472.0, 0.0, 739.0, 119.0), (81.0, 991.0, 456.0, 1147.0), (68.0, 276.0, 429.0, 458.0), (343.0, 300.0, 560.0, 432.0), (663.0, 1182.0, 743.0, 1320.0), (624.0, 263.0, 741.0, 415.0), (448.0, 1256.0, 618.0, 1320.0), (630.0, 722.0, 743.0, 859.0), (222.0, 203.0, 449.0, 324.0), (0.0, 395.0, 180.0, 485.0), (334.0, 178.0, 538.0, 300.0), (46.0, 1178.0, 327.0, 1311.0), (691.0, 792.0, 743.0, 972.0), (370.0, 62.0, 565.0, 150.0)]"
2022-07-21 21:32:45.122772,1,dog,"[(387.0, 1076.0, 551.0, 1308.0)]"
2022-07-21 21:32:45.122772,2,horse,"[(322.0, 757.0, 664.0, 979.0), (296.0, 1089.0, 415.0, 1293.0)]"
2022-07-21 21:32:45.122772,1,sheep,"[(153.0, 511.0, 396.0, 747.0)]"
2022-07-21 21:32:45.122772,2,cow,"[(17.0, 804.0, 274.0, 984.0), (150.0, 519.0, 403.0, 724.0)]"
