Time,NumberObject,TypeObject,Positions
2022-07-15 22:45:20.673265,5,car,"[(399.0, 1192.0, 888.0, 1835.0), (344.0, 640.0, 804.0, 1207.0), (378.0, 1126.0, 569.0, 1257.0), (366.0, 1597.0, 688.0, 1920.0), (438.0, 2.0, 1080.0, 449.0)]"
2022-07-15 22:45:20.673265,1,bus,"[(105.0, 1445.0, 428.0, 1845.0)]"
2022-07-15 22:45:20.673265,11,person,"[(404.0, 509.0, 633.0, 589.0), (450.0, 1593.0, 535.0, 1715.0), (511.0, 3.0, 630.0, 167.0), (378.0, 1246.0, 551.0, 1293.0), (407.0, 1797.0, 456.0, 1853.0), (446.0, 1373.0, 519.0, 1455.0), (465.0, 1452.0, 515.0, 1522.0), (361.0, 1338.0, 421.0, 1374.0), (390.0, 1396.0, 419.0, 1430.0), (381.0, 1361.0, 420.0, 1398.0), (364.0, 1268.0, 531.0, 1334.0)]"
2022-07-15 22:45:20.673265,2,truck,"[(393.0, 0.0, 1074.0, 459.0), (361.0, 1589.0, 707.0, 1919.0)]"
