Time,NumberObject,TypeObject,Positions
2022-07-15 22:47:15.805229,19,car,"[(454.0, 604.0, 683.0, 927.0), (362.0, 359.0, 500.0, 537.0), (466.0, 955.0, 668.0, 1024.0), (332.0, 11.0, 489.0, 201.0), (309.0, 769.0, 402.0, 895.0), (278.0, 487.0, 348.0, 580.0), (344.0, 306.0, 470.0, 452.0), (301.0, 600.0, 387.0, 717.0), (316.0, 0.0, 454.0, 32.0), (242.0, 512.0, 286.0, 574.0), (299.0, 934.0, 360.0, 994.0), (259.0, 709.0, 311.0, 781.0), (333.0, 159.0, 468.0, 244.0), (298.0, 971.0, 390.0, 1024.0), (280.0, 331.0, 344.0, 445.0), (231.0, 398.0, 287.0, 462.0), (25.0, 0.0, 453.0, 1024.0), (279.0, 168.0, 331.0, 255.0), (302.0, 0.0, 372.0, 71.0)]"
2022-07-15 22:47:15.805229,11,traffic light,"[(50.0, 855.0, 133.0, 890.0), (89.0, 374.0, 133.0, 393.0), (118.0, 507.0, 151.0, 519.0), (111.0, 763.0, 154.0, 782.0), (111.0, 783.0, 156.0, 801.0), (134.0, 457.0, 149.0, 468.0), (0.0, 172.0, 19.0, 209.0), (90.0, 344.0, 132.0, 368.0), (211.0, 83.0, 240.0, 105.0), (124.0, 555.0, 144.0, 565.0), (134.0, 454.0, 160.0, 470.0)]"
2022-07-15 22:47:15.805229,1,person,"[(259.0, 288.0, 332.0, 319.0)]"
