Time,NumberObject,TypeObject,Positions
2022-07-21 21:33:18.753275,1,sports ball,"[(226.0, 59.0, 376.0, 208.0)]"
2022-07-21 21:33:18.753275,3,person,"[(38.0, 168.0, 623.0, 344.0), (30.0, 769.0, 741.0, 1315.0), (28.0, 454.0, 739.0, 889.0)]"
