Time,NumberObject,TypeObject,Positions
2022-07-22 19:57:20.786501,14,person,"[(72.0, 14.0, 465.0, 525.0), (92.0, 47.0, 243.0, 153.0), (108.0, 642.0, 238.0, 739.0), (101.0, 0.0, 241.0, 52.0), (264.0, 694.0, 397.0, 780.0), (0.0, 433.0, 107.0, 551.0), (26.0, 344.0, 470.0, 698.0), (0.0, 642.0, 109.0, 757.0), (95.0, 347.0, 211.0, 456.0), (100.0, 742.0, 246.0, 780.0), (248.0, 0.0, 372.0, 82.0), (0.0, 742.0, 105.0, 780.0), (237.0, 323.0, 461.0, 412.0), (150.0, 345.0, 307.0, 447.0)]"
2022-07-22 19:57:20.786501,5,chair,"[(61.0, 250.0, 109.0, 339.0), (48.0, 350.0, 110.0, 440.0), (5.0, 572.0, 86.0, 673.0), (3.0, 362.0, 57.0, 455.0), (360.0, 631.0, 470.0, 778.0)]"
2022-07-22 19:57:20.786501,1,sports ball,"[(411.0, 262.0, 470.0, 349.0)]"
