Time,NumberObject,TypeObject
2022-04-20 21:42:27.872600,3,license_plate
2022-04-20 21:42:28.072868,3,license_plate
2022-04-20 21:42:28.264099,3,license_plate
2022-04-20 21:42:28.453876,3,license_plate
2022-04-20 21:42:28.815347,3,license_plate
2022-04-20 21:42:29.152797,3,license_plate
2022-04-20 21:42:29.345012,2,license_plate
2022-04-20 21:42:29.538715,2,license_plate
2022-04-20 21:42:29.731690,2,license_plate
2022-04-20 21:42:29.920673,2,license_plate
2022-04-20 21:42:30.116694,2,license_plate
2022-04-20 21:42:30.313913,2,license_plate
2022-04-20 21:42:30.505050,2,license_plate
2022-04-20 21:42:30.697855,2,license_plate
2022-04-20 21:42:30.890611,2,license_plate
2022-04-20 21:42:31.080961,2,license_plate
2022-04-20 21:42:31.271464,2,license_plate
2022-04-20 21:42:31.462605,2,license_plate
2022-04-20 21:42:31.672866,2,license_plate
2022-04-20 21:42:31.877045,2,license_plate
2022-04-20 21:42:32.079636,2,license_plate
2022-04-20 21:42:32.274177,2,license_plate
2022-04-20 21:42:32.481416,2,license_plate
2022-04-20 21:42:32.675447,2,license_plate
2022-04-20 21:42:32.869799,2,license_plate
2022-04-20 21:42:33.221319,2,license_plate
2022-04-20 21:42:33.415891,2,license_plate
2022-04-20 21:42:33.619261,2,license_plate
2022-04-20 21:42:33.830366,2,license_plate
2022-04-20 21:42:34.034758,2,license_plate
2022-04-20 21:42:34.224690,2,license_plate
2022-04-20 21:42:34.429999,2,license_plate
2022-04-20 21:42:34.644890,2,license_plate
2022-04-20 21:42:34.836237,2,license_plate
2022-04-20 21:42:35.030069,2,license_plate
2022-04-20 21:42:35.432627,2,license_plate
2022-04-20 21:42:35.630490,2,license_plate
2022-04-20 21:42:35.828688,2,license_plate
2022-04-20 21:42:36.021696,2,license_plate
2022-04-20 21:42:36.209593,2,license_plate
2022-04-20 21:42:36.402211,2,license_plate
2022-04-20 21:42:36.592397,2,license_plate
2022-04-20 21:42:36.799936,2,license_plate
2022-04-20 21:42:36.991247,2,license_plate
2022-04-20 21:42:37.201031,2,license_plate
2022-04-20 21:42:37.392750,2,license_plate
2022-04-20 21:42:37.584934,2,license_plate
2022-04-20 21:42:37.797714,2,license_plate
2022-04-20 21:42:37.988681,1,license_plate
2022-04-20 21:42:38.182035,1,license_plate
2022-04-20 21:42:38.389340,1,license_plate
2022-04-20 21:42:38.598757,1,license_plate
2022-04-20 21:42:38.808379,1,license_plate
2022-04-20 21:42:39.018549,1,license_plate
2022-04-20 21:42:39.234665,1,license_plate
2022-04-20 21:42:39.443984,1,license_plate
