Time,NumberObject,TypeObject
2022-04-20 22:59:23.658344,1,license_plate
2022-04-20 22:59:24.182537,1,license_plate
2022-04-20 22:59:24.264143,1,license_plate
2022-04-20 22:59:24.344444,1,license_plate
2022-04-20 22:59:24.409204,1,license_plate
2022-04-20 22:59:24.484264,1,license_plate
2022-04-20 22:59:24.546783,1,license_plate
2022-04-20 22:59:24.630233,1,license_plate
2022-04-20 22:59:24.708351,1,license_plate
2022-04-20 22:59:24.802042,1,license_plate
2022-04-20 22:59:24.866822,1,license_plate
2022-04-20 22:59:24.960550,1,license_plate
2022-04-20 22:59:25.025125,1,license_plate
2022-04-20 22:59:25.104487,1,license_plate
2022-04-20 22:59:25.185782,1,license_plate
2022-04-20 22:59:25.279510,1,license_plate
2022-04-20 22:59:25.344246,1,license_plate
2022-04-20 22:59:25.438006,1,license_plate
2022-04-20 22:59:25.502698,1,license_plate
2022-04-20 22:59:25.596426,1,license_plate
2022-04-20 22:59:25.662084,1,license_plate
2022-04-20 22:59:25.740220,1,license_plate
2022-04-20 22:59:25.818297,1,license_plate
2022-04-20 22:59:25.898603,1,license_plate
2022-04-20 22:59:25.977968,1,license_plate
2022-04-20 22:59:26.071697,1,license_plate
2022-04-20 22:59:26.137759,1,license_plate
2022-04-20 22:59:26.231487,1,license_plate
2022-04-20 22:59:26.296185,1,license_plate
2022-04-20 22:59:26.374323,1,license_plate
2022-04-20 22:59:26.454638,1,license_plate
2022-04-20 22:59:26.532776,1,license_plate
2022-04-20 22:59:26.611709,1,license_plate
2022-04-20 22:59:26.679633,1,license_plate
2022-04-20 22:59:26.744913,1,license_plate
2022-04-20 22:59:26.811677,1,license_plate
2022-04-20 22:59:26.889816,1,license_plate
2022-04-20 22:59:26.970049,1,license_plate
2022-04-20 22:59:27.035988,1,license_plate
2022-04-20 22:59:27.101779,1,license_plate
2022-04-20 22:59:27.179920,1,license_plate
2022-04-20 22:59:27.273614,1,license_plate
2022-04-20 22:59:27.343397,1,license_plate
2022-04-20 22:59:27.408065,1,license_plate
2022-04-20 22:59:27.486204,1,license_plate
2022-04-20 22:59:27.550789,1,license_plate
2022-04-20 22:59:27.615452,1,license_plate
2022-04-20 22:59:27.680069,1,license_plate
2022-04-20 22:59:27.758207,1,license_plate
2022-04-20 22:59:27.838643,1,license_plate
2022-04-20 22:59:27.932371,1,license_plate
2022-04-20 22:59:27.997145,1,license_plate
2022-04-20 22:59:28.092089,1,license_plate
2022-04-20 22:59:28.156804,1,license_plate
2022-04-20 22:59:28.237328,1,license_plate
2022-04-20 22:59:28.301949,1,license_plate
2022-04-20 22:59:28.366584,1,license_plate
2022-04-20 22:59:28.444726,1,license_plate
2022-04-20 22:59:28.524929,1,license_plate
2022-04-20 22:59:28.587444,1,license_plate
2022-04-20 22:59:28.667618,1,license_plate
2022-04-20 22:59:28.745756,1,license_plate
2022-04-20 22:59:28.823860,1,license_plate
2022-04-20 22:59:28.904081,1,license_plate
2022-04-20 22:59:28.997809,1,license_plate
2022-04-20 22:59:29.062459,1,license_plate
2022-04-20 22:59:29.152321,1,license_plate
2022-04-20 22:59:29.218011,1,license_plate
2022-04-20 22:59:29.296150,1,license_plate
2022-04-20 22:59:29.377463,1,license_plate
2022-04-20 22:59:29.458783,1,license_plate
2022-04-20 22:59:29.536891,1,license_plate
2022-04-20 22:59:29.601495,1,license_plate
2022-04-20 22:59:29.667163,1,license_plate
2022-04-20 22:59:29.731848,1,license_plate
2022-04-20 22:59:29.825578,1,license_plate
2022-04-20 22:59:29.891226,1,license_plate
2022-04-20 22:59:29.971579,1,license_plate
2022-04-20 22:59:30.050823,1,license_plate
2022-04-20 22:59:30.130156,1,license_plate
2022-04-20 22:59:30.208254,1,license_plate
2022-04-20 22:59:30.289472,1,license_plate
2022-04-20 22:59:30.369944,1,license_plate
2022-04-20 22:59:30.463638,1,license_plate
2022-04-20 22:59:30.528303,1,license_plate
2022-04-20 22:59:30.606441,1,license_plate
2022-04-20 22:59:30.686719,1,license_plate
2022-04-20 22:59:30.766997,1,license_plate
2022-04-20 22:59:30.845105,1,license_plate
2022-04-20 22:59:30.910695,1,license_plate
2022-04-20 22:59:30.975495,1,license_plate
2022-04-20 22:59:31.053633,1,license_plate
2022-04-20 22:59:31.133047,1,license_plate
2022-04-20 22:59:31.213292,1,license_plate
2022-04-20 22:59:31.291430,1,license_plate
2022-04-20 22:59:31.371828,1,license_plate
2022-04-20 22:59:31.449966,1,license_plate
2022-04-20 22:59:31.530221,1,license_plate
2022-04-20 22:59:31.608361,1,license_plate
2022-04-20 22:59:31.704984,1,license_plate
2022-04-20 22:59:31.769368,1,license_plate
2022-04-20 22:59:31.850059,1,license_plate
2022-04-20 22:59:31.925842,1,license_plate
2022-04-20 22:59:31.997662,1,license_plate
2022-04-20 22:59:32.079122,1,license_plate
2022-04-20 22:59:32.172850,1,license_plate
2022-04-20 22:59:32.237655,1,license_plate
2022-04-20 22:59:32.315793,1,license_plate
2022-04-20 22:59:32.396384,1,license_plate
2022-04-20 22:59:32.474522,1,license_plate
2022-04-20 22:59:32.554860,1,license_plate
2022-04-20 22:59:32.632998,1,license_plate
2022-04-20 22:59:32.713256,1,license_plate
2022-04-20 22:59:32.791394,1,license_plate
2022-04-20 22:59:32.872729,1,license_plate
2022-04-20 22:59:32.966457,1,license_plate
2022-04-20 22:59:33.179420,1,license_plate
2022-04-20 22:59:33.257537,1,license_plate
2022-04-20 22:59:33.337955,1,license_plate
2022-04-20 22:59:33.416062,1,license_plate
2022-04-20 22:59:33.496283,1,license_plate
2022-04-20 22:59:33.574421,1,license_plate
2022-04-20 22:59:33.655824,1,license_plate
2022-04-20 22:59:33.749586,1,license_plate
2022-04-20 22:59:33.815289,1,license_plate
2022-04-20 22:59:33.909018,1,license_plate
2022-04-20 22:59:33.971533,1,license_plate
2022-04-20 22:59:34.066357,1,license_plate
2022-04-20 22:59:34.136330,1,license_plate
2022-04-20 22:59:34.200955,1,license_plate
2022-04-20 22:59:34.266911,1,license_plate
2022-04-20 22:59:34.331620,1,license_plate
2022-04-20 22:59:34.409758,1,license_plate
2022-04-20 22:59:34.494315,1,license_plate
2022-04-20 22:59:34.563177,1,license_plate
2022-04-20 22:59:34.644606,1,license_plate
2022-04-20 22:59:34.722679,1,license_plate
2022-04-20 22:59:34.803040,1,license_plate
2022-04-20 22:59:34.896799,1,license_plate
2022-04-20 22:59:34.962491,1,license_plate
2022-04-20 22:59:35.056220,1,license_plate
2022-04-20 22:59:35.123101,1,license_plate
2022-04-20 22:59:35.204576,1,license_plate
2022-04-20 22:59:35.282650,1,license_plate
2022-04-20 22:59:35.363023,1,license_plate
2022-04-20 22:59:35.441130,1,license_plate
2022-04-20 22:59:35.521731,1,license_plate
2022-04-20 22:59:35.615487,1,license_plate
2022-04-20 22:59:35.680144,1,license_plate
2022-04-20 22:59:35.758250,1,license_plate
2022-04-20 22:59:35.838624,1,license_plate
2022-04-20 22:59:35.916732,1,license_plate
2022-04-20 22:59:35.997165,1,license_plate
2022-04-20 22:59:36.076495,1,license_plate
2022-04-20 22:59:36.156768,1,license_plate
2022-04-20 22:59:36.238132,1,license_plate
