Time,NumberObject,TypeObject,Positions
2022-07-02 01:43:05.210566,1,bus,"[(1441.0, 104.0, 1845.0, 422.0)]"
2022-07-02 01:43:06.063772,1,bus,"[(1441.0, 104.0, 1845.0, 423.0)]"
2022-07-02 01:43:06.925075,1,bus,"[(1442.0, 107.0, 1846.0, 425.0)]"
2022-07-02 01:43:07.774025,1,bus,"[(1445.0, 104.0, 1851.0, 423.0)]"
2022-07-02 01:43:08.622147,1,bus,"[(1446.0, 106.0, 1846.0, 421.0)]"
2022-07-02 01:43:09.452075,1,bus,"[(1443.0, 103.0, 1849.0, 421.0)]"
2022-07-02 01:43:10.371593,1,bus,"[(1436.0, 99.0, 1857.0, 428.0)]"
2022-07-02 01:43:11.180534,1,bus,"[(1436.0, 99.0, 1857.0, 428.0)]"
2022-07-02 01:43:12.063271,1,bus,"[(1433.0, 96.0, 1861.0, 427.0)]"
2022-07-02 01:43:12.912673,1,bus,"[(1439.0, 96.0, 1864.0, 429.0)]"
2022-07-02 01:43:13.762032,1,bus,"[(1440.0, 98.0, 1861.0, 426.0)]"
2022-07-02 01:43:14.585591,1,bus,"[(1437.0, 99.0, 1864.0, 426.0)]"
2022-07-02 01:43:15.462937,1,bus,"[(1437.0, 96.0, 1867.0, 429.0)]"
2022-07-02 01:43:16.267699,1,bus,"[(1438.0, 96.0, 1866.0, 428.0)]"
2022-07-02 01:43:17.144619,1,bus,"[(1440.0, 96.0, 1867.0, 424.0)]"
2022-07-02 01:43:17.968662,1,bus,"[(1439.0, 94.0, 1865.0, 427.0)]"
2022-07-02 01:43:18.817490,1,bus,"[(1445.0, 92.0, 1868.0, 430.0)]"
2022-07-02 01:43:19.639845,1,bus,"[(1448.0, 92.0, 1871.0, 424.0)]"
2022-07-02 01:43:20.495012,1,bus,"[(1455.0, 89.0, 1865.0, 426.0)]"
2022-07-02 01:43:21.324113,1,bus,"[(1455.0, 89.0, 1865.0, 426.0)]"
2022-07-02 01:43:22.152638,1,bus,"[(1451.0, 82.0, 1869.0, 429.0)]"
2022-07-02 01:43:23.039755,1,bus,"[(1453.0, 84.0, 1872.0, 428.0)]"
2022-07-02 01:43:23.910138,1,bus,"[(1445.0, 84.0, 1874.0, 425.0)]"
2022-07-02 01:43:24.736754,1,bus,"[(1445.0, 83.0, 1868.0, 426.0)]"
2022-07-02 01:43:25.593537,1,bus,"[(1444.0, 82.0, 1872.0, 428.0)]"
2022-07-02 01:43:26.414481,1,bus,"[(1445.0, 82.0, 1872.0, 428.0)]"
2022-07-02 01:43:27.280336,1,bus,"[(1437.0, 80.0, 1878.0, 429.0)]"
2022-07-02 01:43:27.280336,1,motorbike,"[(0.0, 488.0, 309.0, 1080.0)]"
2022-07-02 01:43:28.124686,1,bus,"[(1439.0, 68.0, 1876.0, 415.0)]"
2022-07-02 01:43:29.001432,1,bus,"[(1445.0, 66.0, 1880.0, 415.0)]"
2022-07-02 01:43:29.803332,1,bus,"[(1448.0, 63.0, 1876.0, 416.0)]"
2022-07-02 01:43:30.638391,1,bus,"[(1444.0, 63.0, 1883.0, 414.0)]"
2022-07-02 01:43:31.439546,1,bus,"[(1444.0, 63.0, 1882.0, 414.0)]"
2022-07-02 01:43:32.293443,1,bus,"[(1444.0, 64.0, 1888.0, 410.0)]"
2022-07-02 01:43:33.164831,1,bus,"[(1442.0, 63.0, 1889.0, 408.0)]"
2022-07-02 01:43:34.045710,1,bus,"[(1443.0, 65.0, 1896.0, 405.0)]"
2022-07-02 01:43:34.869749,1,bus,"[(1445.0, 61.0, 1892.0, 405.0)]"
2022-07-02 01:43:35.746361,1,bus,"[(1447.0, 60.0, 1899.0, 407.0)]"
2022-07-02 01:43:36.559799,1,bus,"[(1447.0, 59.0, 1900.0, 407.0)]"
2022-07-02 01:43:37.428563,1,bus,"[(1449.0, 60.0, 1900.0, 406.0)]"
2022-07-02 01:43:38.257613,1,bus,"[(1458.0, 60.0, 1893.0, 403.0)]"
2022-07-02 01:43:39.105299,1,bus,"[(1455.0, 57.0, 1898.0, 400.0)]"
2022-07-02 01:43:39.942548,1,bus,"[(1456.0, 55.0, 1895.0, 398.0)]"
2022-07-02 01:43:40.794839,1,bus,"[(1452.0, 52.0, 1900.0, 397.0)]"
2022-07-02 01:43:41.598712,1,bus,"[(1453.0, 52.0, 1900.0, 397.0)]"
2022-07-02 01:43:42.476186,1,bus,"[(1449.0, 50.0, 1893.0, 396.0)]"
2022-07-02 01:43:43.284553,1,bus,"[(1447.0, 47.0, 1906.0, 400.0)]"
2022-07-02 01:43:44.179858,1,bus,"[(1459.0, 42.0, 1903.0, 401.0)]"
2022-07-02 01:43:45.003149,1,bus,"[(1456.0, 37.0, 1909.0, 407.0)]"
2022-07-02 01:43:45.880755,1,bus,"[(1458.0, 32.0, 1909.0, 405.0)]"
2022-07-02 01:43:46.711516,1,bus,"[(1458.0, 32.0, 1909.0, 405.0)]"
2022-07-02 01:43:47.561641,1,bus,"[(1457.0, 30.0, 1906.0, 396.0)]"
2022-07-02 01:43:48.378960,1,bus,"[(1457.0, 30.0, 1911.0, 396.0)]"
2022-07-02 01:43:49.239663,1,bus,"[(1459.0, 29.0, 1913.0, 392.0)]"
2022-07-02 01:43:50.072974,1,bus,"[(1446.0, 26.0, 1909.0, 392.0)]"
2022-07-02 01:43:50.933996,1,bus,"[(1451.0, 28.0, 1914.0, 392.0)]"
2022-07-02 01:43:51.745398,1,bus,"[(1451.0, 28.0, 1914.0, 392.0)]"
2022-07-02 01:43:52.613958,1,bus,"[(1449.0, 27.0, 1919.0, 386.0)]"
2022-07-02 01:43:53.424098,1,bus,"[(1447.0, 21.0, 1918.0, 385.0)]"
2022-07-02 01:43:54.299441,1,bus,"[(1447.0, 17.0, 1917.0, 394.0)]"
2022-07-02 01:43:55.134685,1,bus,"[(1454.0, 16.0, 1918.0, 383.0)]"
2022-07-02 01:43:56.013122,1,bus,"[(1448.0, 12.0, 1919.0, 385.0)]"
2022-07-02 01:43:56.818258,1,bus,"[(1448.0, 12.0, 1919.0, 385.0)]"
2022-07-02 01:43:57.672191,1,bus,"[(1438.0, 11.0, 1920.0, 396.0)]"
2022-07-02 01:43:58.489192,1,bus,"[(1441.0, 11.0, 1919.0, 388.0)]"
2022-07-02 01:43:59.347783,1,bus,"[(1435.0, 9.0, 1920.0, 398.0)]"
2022-07-02 01:44:00.198693,1,bus,"[(1429.0, 8.0, 1920.0, 405.0)]"
2022-07-02 01:44:01.068601,1,bus,"[(1426.0, 9.0, 1920.0, 403.0)]"
2022-07-02 01:44:01.904735,1,bus,"[(1426.0, 8.0, 1920.0, 405.0)]"
2022-07-02 01:44:02.752270,1,bus,"[(1435.0, 7.0, 1920.0, 401.0)]"
2022-07-02 01:44:03.567843,1,bus,"[(1430.0, 7.0, 1920.0, 395.0)]"
2022-07-02 01:44:04.417733,1,bus,"[(1435.0, 5.0, 1920.0, 415.0)]"
2022-07-02 01:44:05.243461,1,bus,"[(1438.0, 4.0, 1920.0, 420.0)]"
2022-07-02 01:44:06.075589,1,bus,"[(1437.0, 4.0, 1920.0, 403.0)]"
2022-07-02 01:44:06.894563,1,bus,"[(1437.0, 4.0, 1920.0, 404.0)]"
2022-07-02 01:44:07.723419,1,bus,"[(1435.0, 4.0, 1920.0, 399.0)]"
2022-07-02 01:44:08.547601,1,bus,"[(1439.0, 3.0, 1920.0, 406.0)]"
2022-07-02 01:44:09.384068,1,bus,"[(1434.0, 4.0, 1920.0, 394.0)]"
2022-07-02 01:44:10.227111,1,bus,"[(1429.0, 4.0, 1920.0, 405.0)]"
2022-07-02 01:44:11.074409,1,bus,"[(1427.0, 4.0, 1920.0, 417.0)]"
2022-07-02 01:44:11.916421,1,bus,"[(1427.0, 3.0, 1920.0, 416.0)]"
2022-07-02 01:44:12.755669,1,bus,"[(1427.0, 4.0, 1920.0, 413.0)]"
2022-07-02 01:44:13.567960,1,bus,"[(1434.0, 2.0, 1920.0, 420.0)]"
2022-07-02 01:44:14.404992,1,bus,"[(1430.0, 4.0, 1920.0, 418.0)]"
2022-07-02 01:44:15.270966,1,bus,"[(1433.0, 3.0, 1920.0, 432.0)]"
2022-07-02 01:44:16.101699,1,bus,"[(1432.0, 2.0, 1920.0, 429.0)]"
2022-07-02 01:44:16.950135,1,bus,"[(1431.0, 2.0, 1920.0, 430.0)]"
2022-07-02 01:44:17.793198,1,bus,"[(1430.0, 3.0, 1920.0, 418.0)]"
2022-07-02 01:44:18.615907,1,bus,"[(1422.0, 4.0, 1920.0, 420.0)]"
2022-07-02 01:44:19.444730,1,bus,"[(1422.0, 4.0, 1920.0, 409.0)]"
2022-07-02 01:44:20.283645,1,bus,"[(1425.0, 5.0, 1920.0, 427.0)]"
2022-07-02 01:44:21.111485,1,bus,"[(1423.0, 4.0, 1920.0, 414.0)]"
2022-07-02 01:44:21.948694,1,bus,"[(1422.0, 3.0, 1920.0, 413.0)]"
2022-07-02 01:44:22.853329,1,bus,"[(1423.0, 4.0, 1920.0, 411.0)]"
2022-07-02 01:44:23.670067,1,bus,"[(1419.0, 4.0, 1920.0, 415.0)]"
2022-07-02 01:44:24.508014,1,bus,"[(1414.0, 1.0, 1920.0, 410.0)]"
2022-07-02 01:44:25.354976,1,bus,"[(1410.0, 2.0, 1920.0, 423.0)]"
2022-07-02 01:44:26.210624,1,bus,"[(1407.0, 1.0, 1920.0, 435.0)]"
2022-07-02 01:44:27.068898,1,bus,"[(1408.0, 1.0, 1920.0, 435.0)]"
2022-07-02 01:44:27.886159,1,bus,"[(1419.0, 4.0, 1920.0, 414.0)]"
2022-07-02 01:44:28.684424,1,bus,"[(1419.0, 0.0, 1920.0, 433.0)]"
2022-07-02 01:44:29.513994,1,bus,"[(1422.0, 1.0, 1920.0, 425.0)]"
2022-07-02 01:44:30.366534,1,bus,"[(1415.0, 0.0, 1920.0, 412.0)]"
2022-07-02 01:44:31.200573,1,bus,"[(1422.0, 0.0, 1920.0, 399.0)]"
2022-07-02 01:44:32.018014,1,bus,"[(1422.0, 0.0, 1920.0, 400.0)]"
2022-07-02 01:44:32.863471,1,bus,"[(1425.0, 0.0, 1920.0, 403.0)]"
2022-07-02 01:44:33.669615,1,bus,"[(1416.0, 0.0, 1913.0, 414.0)]"
2022-07-02 01:44:34.511433,1,bus,"[(1424.0, 0.0, 1920.0, 410.0)]"
2022-07-02 01:44:35.352664,1,bus,"[(1426.0, 0.0, 1920.0, 404.0)]"
2022-07-02 01:44:36.218301,1,bus,"[(1417.0, 0.0, 1920.0, 415.0)]"
2022-07-02 01:44:37.030650,1,bus,"[(1417.0, 0.0, 1920.0, 416.0)]"
